CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
1.0,4.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0
2.0,4.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0
1.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0
2.0,4.0,2.0,2.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,1.0
3.0,4.0,2.0,3.0,1.0,0.0,2.0,4.0,4.0,1.0,2.0,1.0
2.0,4.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0
1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
2.0,4.0,2.0,3.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,1.0
3.0,4.0,3.0,3.0,1.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0
2.0,4.0,2.0,3.0,1.0,0.0,2.0,4.0,3.0,2.0,2.0,2.0
1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0
1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0
2.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0
1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
2.0,4.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0
1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
1.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0
2.0,4.0,2.0,3.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0
2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0
3.0,4.0,3.0,3.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,1.0
2.0,4.0,2.0,3.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,1.0
2.0,4.0,2.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0
0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
1.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0
2.0,4.0,2.0,3.0,1.0,0.0,2.0,4.0,3.0,1.0,2.0,1.0
1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0
1.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0
2.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0
2.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
2.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,1.0
2.0,4.0,2.0,3.0,1.0,0.0,2.0,4.0,3.0,1.0,3.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0
1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0
1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0
0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0
1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
1.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0
1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0
0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
1.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0
